shopper_id,shopper_experience_years,shopper_specialties,shopper_avg_rating,shopper_clients_count,shopper_locale,client_id,client_age,client_gender,client_income_bracket,client_preferred_categories,client_loyalty_tier,days_since_last_purchase,purchase_history_count,last_purchase_amount,recommended_product_ids,product_category,recommendation_channel,recommendation_datetime,time_to_purchase_hours,purchased
S0088,16,maison;lifestyle,3.0,1680,FR,C100000,74,Other,low,luxe,none,365,17,197.7,P760|P458,mode,in-store,2024-09-18T07:16:35,-1.0,False
S0103,12,styling;conseil,4.49,1475,FR,C100001,73,F,low,sport,none,1,5,341.07,P304|P875,deco,email,2025-02-21T11:47:10,-1.0,False
S0141,1,styling;conseil,3.32,694,FR,C100002,43,F,low,accessoires;enfants,none,365,17,80.6,P741|P415,mode,app,2024-01-24T06:21:30,-1.0,False
S0071,5,mode;accessoires,3.15,1838,FR,C100003,70,Other,low,voyage;beauté,silver,90,1,49.13,P364|P391,mode,phone,2025-09-03T03:48:59,-1.0,False
S0167,13,mode;accessoires,3.67,66,FR,C100004,23,M,medium,voyage,gold,3,5,402.05,P789,mode,email,2025-08-28T14:19:04,-1.0,False
S0075,8,mode;enfants,3.45,1449,FR,C100005,27,Other,medium,mode,gold,1,26,47.19,P989,deco,in-store,2024-10-27T09:35:39,-1.0,False
S0114,11,luxe;montres,3.5,1781,FR,C100006,21,Other,low,deco;voyage,platinum,7,22,411.27,P649,deco,phone,2024-09-22T21:43:41,-1.0,False
S0037,16,beauté;parfum,3.83,1550,FR,C100007,24,M,high,beauté;accessoires,platinum,1,1,109.27,P224,beauté,in-store,2024-04-15T01:18:52,-1.0,False
S0056,3,beauté,4.18,807,FR,C100008,44,M,low,enfants;maison,silver,1,19,18.41,P249|P817,tech,email,2024-09-28T10:46:05,-1.0,False
S0130,9,mode;accessoires,3.63,392,FR,C100009,56,F,high,enfants,gold,7,1,12.96,P452|P235,tech,phone,2024-04-03T07:02:20,-1.0,False
S0195,3,tech;gadgets,4.57,124,FR,C100010,67,Other,high,enfants;tech,platinum,90,19,52.41,P645|P997,gaming,email,2025-03-02T11:11:21,-1.0,False
S0017,4,beauté,3.8,1700,FR,C100011,30,M,high,luxe;beauté,silver,7,1,164.8,P370,beauté,email,2025-06-08T00:05:49,-1.0,False
S0025,6,mode;accessoires,4.19,125,FR,C100012,73,Other,high,accessoires,silver,365,11,341.45,P467|P665,accessoires,email,2024-09-11T20:50:54,-1.0,False
S0162,13,mode;sport,3.31,1449,FR,C100013,71,F,medium,accessoires,platinum,3,28,308.02,P442|P875,deco,in-store,2025-08-18T20:26:25,55.31,True
S0123,1,beauté,3.49,178,FR,C100014,73,F,medium,accessoires;deco,platinum,3,9,101.64,P292,mode,in-store,2024-11-16T15:05:43,-1.0,False
S0024,15,mode;sport,4.24,1191,FR,C100015,23,F,medium,mode;accessoires,silver,1,3,110.8,P639,enfants,email,2024-05-31T00:58:32,-1.0,False
S0066,18,tech;gadgets,3.22,1277,FR,C100016,64,F,low,sport,none,7,19,16.36,P218,beauté,phone,2024-05-12T15:24:27,5.78,True
S0030,10,tech;gadgets,4.56,899,FR,C100017,46,Other,high,beauté,gold,90,16,50.79,P645|P623,mode,app,2024-07-11T00:56:42,-1.0,False
